,Mimic enzyme activity,N,P,S,Si,Se,B,F,Cl,Br,I,Metal ratio,Metal type,Metal valence,Submetal ratio,Submetal type,Submetal valence,3rd metal ratio,3rd metal type,3rd metal valence,4th metal ratio,4th metal type,4th metal  valence,shape,Size/nm,Surface modification,Dispersion medium,Buffer pH value,Buffer pH,Temperature/℃,Substrate1,Substrate2,Substrate2 concentration(mM),Km/mM,Vmax/μM s-1,Kcat/s-1,"k cat /Km
(Catalytic efficiency )/M-1 s-1",Chemical_formula
Pt NPs,1,0,0,0,0,0,0,0,0,0,0,100,78,0,17.95,58,3,2.28,62,0,3.79,27,3,0,9.9,3,1,7,1,25,2,2,135,0.02,0.27,0.64,2555.385,7
Pt NPs,1,0,0,0,0,0,0,0,0,0,0,100,78,0,8.005,79,0,2.28,62,0,3.79,27,3,0,41.1,3,1,7,1,25,2,2,200.335,0.02,0.2,0.48,853.165,7
Pt NPs,1,0,0,0,0,0,0,0,0,0,0,100,78,0,6.505,68.5,1.5,4.64,35.5,1,3.79,27,3,0,58.3,3,1,7,1,25,2,2,200.335,0.03,0.15,0.36,1044.22,7
Pd@Pt,0,0,0,0,0,0,0,0,0,0,0,83.33,78,0,16.67,46,0,2.28,62,0,3.52,36.5,1.5,1,40,4,0,4.5,0,25,0,0,10,0.09,0.06,31000,0.055,8
Pd@Pt,0,0,0,0,0,0,0,0,0,0,0,83.33,78,0,16.67,46,0,2.28,62,0,3.52,36.5,1.5,1,40,4,0,4.5,0,25,1,1,0.5,2.23,0.05,25000,0.055,8
Pd,0,0,0,0,0,0,0,0,0,0,0,100,46,0,8.5,58.5,3,1.815,52,2,3.52,36.5,1.5,1,40,4,0,4.5,0,25,0,0,10,0.11,0.06,12000,0.055,9
Pd,0,0,0,0,0,0,0,0,0,0,0,100,46,0,8.5,58.5,3,1.815,52,2,3.52,36.5,1.5,1,40,4,0,4.5,0,25,1,1,0.5,4.4,0.07,13000,0.055,9
Au0.75Pt0.25,1,0,0,0,0,0,0,0,0,0,0,75,79,0,25,78,0,6.18,42.5,3,3.52,36.5,1.5,0,22.5,5,1,7,1,25,0,0,0.67,0.02,0.01,345000000,3.33E+13,10
Au0.5Pt0.5,1,0,0,0,0,0,0,0,0,0,0,50,78,0,50,79,0,13.15,42.5,3,3.52,36.5,1.5,0,23.6,5,1,7,1,25,0,0,0.67,0.05,0.02,345000000,3.33E+13,11
Au0.25Pt0.75,1,0,0,0,0,0,0,0,0,0,0,75,78,0,25,79,0,6.18,42.5,3,3.52,36.5,1.5,0,25,5,1,7,1,25,0,0,0.67,0.15,0.17,345000000,3.33E+13,12
Au0.15Pt0.85,1,0,0,0,0,0,0,0,0,0,0,85,78,0,15,79,0,6.18,42.5,3,3.52,36.5,1.5,0,37.5,5,1,7,1,25,0,0,0.67,0.23,0.18,345000000,3.33E+13,13
Pt,1,0,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,2.28,62,0,3.52,36.5,1.5,0,42.5,5,1,7,1,25,0,0,0.67,0.52,0.33,345000000,3.33E+13,14
Fe3C/N?C,1,1,0,0,0,0,0,0,0,0,0,100,26,3,33.3,30,2,24.845,25,4,12.75,26,2,2,320,6,0,4,0,25,0,2,0.26,0.23,0.33,345000000,3.33E+13,15
Fe/NC,1,1,0,0,0,0,0,0,0,0,0,100,26,3,33.3,30,2,2.28,62,0,3.52,36.5,1.5,0,7,7,0,3.5,0,30,0,2,0.26,0.14,0.105,345000000,3.33E+13,16
Mn3O4 NPs,1,0,0,0,0,0,0,0,0,0,0,66.7,25,3,33.3,25,2,24.845,25,4,12.75,26,2,3,150,4,0,3.5,0,35,0,2,0.26,0.03,0.05,345000000,3.33E+13,17
CeO2,1,0,0,0,0,0,0,0,0,0,0,62,58,4,38,58,3,11.01,27,2,3.79,27,3,0,5,4,0,4,0,25,3,2,0.6,0.18,1.2,2.8,12560,18
CeO2,1,0,0,0,0,0,0,1,0,0,0,55,58,4,45,58,3,13.15,42.5,3,3.79,27,3,0,20,8,0,4,0,25,3,2,0.435,0.06,0.55,12.84,207100,18
CeO2,1,0,0,0,0,0,0,0,0,0,0,62,58,4,38,58,3,11.01,27,2,3.79,27,3,0,5,4,0,4,0,25,0,2,0.6,1.5,0.07,0.16,110,18
CeO2,1,0,0,0,0,0,0,1,0,0,0,55,58,4,45,58,3,11.01,27,2,3.79,27,3,0,20,8,0,4,0,25,0,2,0.435,0.14,0.06,1.47,10470,18
TiO2/C-QDs,1,1,0,0,0,0,0,0,0,0,0,100,22,4,1.37,23,5,1.35,58,4,3.25,46,0,0,5.23,9,2,5,0,25,0,2,6.765,0.16,0.03,6.04,142.455,19
MoO3-TPP ,1,1,1,0,0,0,0,0,0,0,0,100,42,6,3.21,29,0,2.28,62,0,3.52,36.5,1.5,0,2,10,1,7,1,25,4,3,0.3,0.59,0.59,2.78,1044.22,20
MnO2,1,0,0,0,0,0,0,0,0,0,0,100,25,4,33.3,30,2,16.67,27,2,12.75,26,2,0,500,4,0,5,0,25,0,2,0.26,0.1,0.13,345000000,3.33E+13,21
Co4S3/Co(OH)2 HNTs,1,0,0,0,1,0,0,0,0,0,0,93.73,27,2,6.26,27,3,20.22,26.5,2,12.75,26,2,4,1000,4,2,4,0,25,0,2,50.1,1.33,0.47,0.02,142.455,22
Co-V MMOs,1,0,0,0,0,0,0,0,0,0,0,38.33,27,2,31.67,27,3,15,23,5,15,23,4,4,2000,4,0,4,0,25,0,2,0.26,0.44,0.1,345000000,3.33E+13,23
Co-V MMOs,0,0,0,0,0,0,0,0,0,0,0,38.33,27,2,31.67,27,3,15,23,5,15,23,4,4,2000,4,0,4,0,25,0,0,0.8,0.18,0.58,345000000,3.33E+13,23
Co-V MMOs,0,0,0,0,0,0,0,0,0,0,0,38.33,27,2,31.67,27,3,15,23,5,15,23,4,4,2000,4,0,4,0,25,1,1,0.2,0.12,0.05,345000000,3.33E+13,23
MNPG,1,0,0,0,0,0,0,0,0,0,0,69.14,26,3,30.86,26,2,16.17,68.5,1.5,3.25,46,0,0,6.5,11,3,12,2,40,5,2,0.26,0.12,0.21,345000000,3.33E+13,24
Ir/NC,1,1,0,0,0,0,0,0,0,0,0,100,77,0,33.3,30,2,2.28,62,0,3.79,27,3,0,1.4,7,0,4,0,40,0,2,0.26,0.1,0.04,345000000,3.33E+13,25
Ir/C,1,0,0,0,0,0,0,0,0,0,0,100,77,0,33.3,30,2,2.28,62,0,3.79,27,3,0,1.4,12,0,4,0,40,0,2,0.26,0.1,0.02,345000000,3.33E+13,26
MnO2,1,0,0,0,0,0,0,0,0,0,0,100,25,4,33.3,30,2,1.35,58,4,3.25,46,0,1,200,13,0,4.8,0,25,0,2,0.26,0.01,0.26,345000000,3.33E+13,21
MnO2 + GA,1,0,0,0,0,0,0,0,0,0,0,100,25,4,33.3,30,2,1.35,58,4,3.25,46,0,1,200,14,0,4.8,0,25,0,2,0.26,0.02,0.15,345000000,3.33E+13,27
汐-MnO2,1,0,0,0,0,0,0,0,0,0,0,63,25,3,37,25,4,18.27,26.5,2,12.75,26,2,4,785,4,0,4,0,25,0,2,0.26,0.1,5.63,345000000,3.33E+13,28
汕-MnO2,1,0,0,0,0,0,0,0,0,0,0,68,25,4,32,25,3,15,23,5,15,23,4,4,17100,4,0,4,0,25,0,2,0.26,0.1,16.8,345000000,3.33E+13,29
污-MnO2,1,0,0,0,0,0,0,0,0,0,0,70,25,3,30,25,4,16.67,27,2,12.75,26,2,4,450,4,0,4,0,25,0,2,0.26,0.1,1.58,345000000,3.33E+13,30
Mn3O4,1,0,0,0,0,0,0,0,0,0,0,66.7,25,3,33.3,25,2,18.27,26.5,2,12.75,26,2,0,800,4,0,4.5,0,37,0,2,0.26,0.03,0.13,345000000,3.33E+13,31
K5PV2Mo10O40,1,1,1,0,0,0,0,0,0,0,0,83.33,42,6,16.67,23,5,5.125,35.5,1,5.5,36,1,0,65,15,4,3,0,25,0,2,0.26,0.01,8,345000000,3.33E+13,32
K5PV2Mo10O40,1,1,1,0,0,0,0,0,0,0,0,83.33,42,6,16.67,23,5,5.125,35.5,1,5.5,36,1,0,65,15,4,4,0,25,0,2,0.26,0.1,3.8,345000000,3.33E+13,32
K5PV2Mo10O40,1,1,1,0,0,0,0,0,0,0,0,83.33,42,6,16.67,23,5,5.125,35.5,1,5.5,36,1,0,65,15,4,5,0,25,0,2,0.26,0.1,2,345000000,3.33E+13,32
K5PV2Mo10O40,1,1,1,0,0,0,0,0,0,0,0,83.33,42,6,16.67,23,5,5.125,35.5,1,5.5,36,1,0,65,15,4,6,0,25,0,2,0.26,0.01,8.3,345000000,3.33E+13,32
K5PV2Mo10O40,1,1,1,0,0,0,0,0,0,0,0,83.33,42,6,16.67,23,5,5.125,35.5,1,5.5,36,1,0,65,15,4,7,1,25,0,2,0.26,0.1,4.7,345000000,3.33E+13,32
Fe-N/C-CNTs,1,1,0,0,0,0,0,0,0,0,0,100,26,3,20,23,5,13.765,25,3,8.875,36,1,4,100,7,0,4,0,25,0,2,100,0.62,0.53,1.48,142.455,33
Fe-N/C-CNTs,1,1,0,0,0,0,0,0,0,0,0,100,26,3,20,23,5,13.765,25,3,8.875,36,1,4,100,7,0,4,0,25,6,2,50.05,0.21,0.1,0.28,142.455,33
Ni-N/C-CNTs,1,0,0,0,0,0,0,0,0,0,0,100,28,2,20,23,5,13.765,25,3,8.875,36,1,4,100,7,0,4,0,25,0,2,55,0.28,0.02,0.06,142.455,34
Co-N/C-CNTs,1,0,0,0,0,0,0,0,0,0,0,100,27,3,20,23,5,13.765,25,3,8.875,36,1,4,100,7,0,4,0,25,0,2,100,1.17,0.21,0.31,142.455,35
AuNPs,1,0,0,0,0,0,0,0,0,0,0,100,79,0,13.565,52,1.5,2.28,62,0,3.79,27,3,0,9.81,16,3,7.4,2,25,7,2,125.2,0.42,0.01,0.69,1650.77,36
AuPtNPs,1,0,0,0,0,0,0,0,0,0,0,55.97,78,0,44.02,79,0,11.01,27,2,3.79,27,3,0,7.9,17,3,7.4,2,25,7,2,0.105,0.33,0.02,1.6,4792.39,37
MIP(AuPt),1,0,0,0,0,0,0,0,0,0,0,55.97,78,0,44.02,79,0,11.01,27,2,3.79,27,3,0,0,18,3,7.4,2,25,7,2,0.435,0.11,0.46,36.38,335438.58,38
cerium oxide nanoparticles,1,0,0,0,0,0,0,0,0,0,0,100,58,4,33.3,30,2,2.28,62,0,3.79,27,3,0,1,19,0,4,0,15,0,2,0.26,0.43,0.1,345000000,3.33E+13,39
CeO2/rGO,1,0,0,0,0,0,0,0,0,0,0,100,58,4,33.3,30,2,2.28,62,0,3.79,27,3,1,200,0,0,3.5,0,35,0,2,0.26,0.69,0.105,345000000,3.33E+13,40
LaMnO3+汛 nanofibers,1,0,0,0,0,0,0,0,0,0,0,50,57,3,50,25,3,24.845,25,4,12.75,26,2,2,170,4,0,4,0,30,0,2,0.26,0.04,0.08,345000000,3.33E+13,41
V6O13每rGO,1,0,0,0,0,0,0,0,0,0,0,66.67,23,4,33.33,23,5,15,23,5,15,23,4,0,2000,0,0,3,0,30,0,2,0.26,0.1,0.02,345000000,3.33E+13,42
V6O13每rGO + F,1,0,0,0,0,0,0,1,0,0,0,66.67,23,4,33.33,23,5,15,23,5,15,23,4,0,2000,20,0,3,0,30,0,2,0.26,0.08,0.04,345000000,3.33E+13,43
CNF/MnCo2O4.5,1,0,0,0,0,0,0,0,0,0,0,66.67,27,3,33.3,25,3,24.845,25,4,15.585,26.5,2,1,250,21,0,4,0,25,0,2,0.26,0.04,0.06,345000000,3.33E+13,44
V6O13 nanotextiles,0,0,0,0,0,0,0,0,0,0,0,66.67,23,4,33.33,23,5,13.33,58,3,15,23,4,3,200,4,0,4.5,0,30,0,0,0.6,0.15,0.03,345000000,3.33E+13,45
V6O13 nanotextiles,0,0,0,0,0,0,0,0,0,0,0,66.67,23,4,33.33,23,5,13.33,58,3,15,23,4,3,200,4,0,4.5,0,30,1,1,0.3,1.51,0.03,345000000,3.33E+13,45
VO2(A),0,0,0,0,0,0,0,0,0,0,0,100,23,4,33.3,30,2,24.845,25,4,12.75,26,2,1,150,4,0,4,0,25,0,0,0.15,0.17,0.02,345000000,3.33E+13,46
VO2(A),0,0,0,0,0,0,0,0,0,0,0,100,23,4,33.3,30,2,24.845,25,4,12.75,26,2,1,150,4,0,4,0,25,1,1,0.5,0.06,0.01,345000000,3.33E+13,46
Ni(OH)2 NFs,0,0,0,0,0,0,0,0,0,0,0,100,28,2,33.3,30,2,15,23,5,15,23,4,0,4000,22,0,4,0,25,0,0,4,0.02,0.01,345000000,3.33E+13,47
Ni(OH)2 NFs,0,0,0,0,0,0,0,0,0,0,0,100,28,2,33.3,30,2,15,23,5,15,23,4,0,4000,22,0,4,0,25,1,1,0.1,1.76,0.01,345000000,3.33E+13,47
NiO NFs,0,0,0,0,0,0,0,0,0,0,0,100,28,2,33.3,30,2,15,23,5,15,23,4,0,4000,4,0,4,0,25,0,0,4,0.02,0.02,345000000,3.33E+13,48
NiO NFs,0,0,0,0,0,0,0,0,0,0,0,100,28,2,33.3,30,2,15,23,5,15,23,4,0,4000,4,0,4,0,25,1,1,0.1,1.77,0.02,345000000,3.33E+13,48
TiO2@CeOx,0,0,0,0,0,0,0,0,0,0,0,95.19,22,4,3.46,58,3,1.35,58,4,5.5,36,1,0,25.9,4,4,4,0,25,0,0,58,0.3,0.01,345000000,3.33E+13,49
TiO2@CeOx,0,0,0,0,0,0,0,0,0,0,0,95.19,22,4,3.46,58,3,1.35,58,4,3.25,46,0,0,25.9,4,4,4,0,25,1,1,0.2,1.39,0.06,345000000,3.33E+13,49
TiO2@CeOx,0,0,0,0,0,0,0,0,0,0,0,98.63,22,4,1.37,58,3,1.815,52,2,9.375,26,2,0,22.8,4,4,4,0,25,0,0,58,0.28,0.01,345000000,3.33E+13,49
TiO2@CeOx,0,0,0,0,0,0,0,0,0,0,0,98.63,22,4,1.37,58,3,1.815,52,2,3.52,36.5,1.5,0,22.8,4,4,4,0,25,1,1,0.2,6.29,0.03,345000000,3.33E+13,49
Sisal-like Co3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,27,3,33.3,27,2,15,23,5,15,23,4,4,9000,4,0,4,0,40,0,0,425,0.02,0.105,345000000,3.33E+13,50
Sisal-like Co3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,27,3,33.3,27,2,15,23,5,15,23,4,0,9000,4,0,4,0,40,1,1,0.24,0.83,0.105,345000000,3.33E+13,50
FeBi-NC SAzyme,1,1,0,0,0,0,0,0,0,0,0,75.42,83,2,24.58,26,3,16.67,26,2,3.79,27,3,0,7.6,4,0,3.5,0,37,0,2,0.26,0.21,0.07,345000000,3.33E+13,51
FeN5 SACs-Heme,0,1,0,0,0,0,0,0,0,0,0,100,26,3,15,33.5,4.5,1.815,68,2,9.375,26,2,1,2.39,23,0,3.5,0,37,0,0,100,2.29,0.6,0.2,87.34,52
FeN5 SACs-Heme,0,1,0,0,0,0,0,0,0,0,0,100,26,3,3.21,26,2.5,2.28,62,0,3.25,46,0,1,2.39,23,0,3.5,0,37,1,1,1,21.64,0.17,0.06,2.58,52
FeN4 SACs-Heme,0,1,0,0,0,0,0,0,0,0,0,100,26,3,15,33.5,4.5,1.815,52,2,9.375,26,2,1,2.1,23,0,3.5,0,37,0,0,100,0.35,0.03,0.01,29.14,53
FeN4 SACs-Heme,0,1,0,0,0,0,0,0,0,0,0,100,26,3,3.21,23,5,2.28,62,0,3.25,46,0,1,2.1,23,0,3.5,0,37,1,1,1,8.67,0.02,0.01,0.74,53
A30AS1411-AuNF,0,1,0,0,0,0,0,0,0,0,0,100,79,0,33.3,30,2,2.28,62,0,3.79,27,3,0,45,24,0,3.5,0,37,6,2,0.26,0.02,0.1,345000000,3.33E+13,54
Fe-Ac-NH2-UiO-66 NPs,0,1,0,0,0,0,0,0,0,0,0,16.67,26,3,83.33,40,4,24.845,25,4,15.585,26.5,2,3,315,4,0,4,0,37,1,4,1,8.06,0.3,345000000,3.33E+13,55
Fe-Ac-NH2-UiO-66 NPs,0,1,0,0,0,0,0,0,0,0,0,16.67,26,3,83.33,40,4,24.845,25,4,15.585,26.5,2,3,315,4,0,4,0,37,3,0,10,1.67,0.49,345000000,3.33E+13,55
Fe-HCl-NH2-UiO-66 NPs,0,1,0,0,0,0,0,0,0,0,0,58.33,26,3,41.67,40,4,24.845,25,4,15.585,26.5,2,3,300,4,0,4,0,37,1,4,1,3.48,0.46,345000000,3.33E+13,56
Fe-HCl-NH2-UiO-66 NPs,0,1,0,0,0,0,0,0,0,0,0,58.33,26,3,41.67,40,4,24.845,25,4,15.585,26.5,2,3,300,4,0,4,0,37,3,0,10,6.84,2.67,345000000,3.33E+13,56
FeBNC,0,1,0,0,0,0,1,0,0,0,0,100,26,3,2.415,40.5,4,1.815,52,2,3.25,46,0,1,130.1,4,0,3,0,25,1,1,1,25.24,1.28,0.37,14.65,57
FeBNC,0,1,0,0,0,0,1,0,0,0,0,100,26,3,10.13,25,4,13.765,25,3,11.375,24.5,3,1,100,4,0,3,0,25,0,0,100,2.22,1.81,0.07,234.23,57
FeNC,0,1,0,0,0,0,0,0,0,0,0,100,26,3,2.415,40.5,4,1.815,52,2,3.25,46,0,1,15.75,4,0,3,0,25,1,1,1,24.25,0.55,0.52,3.01,58
FeNC,0,1,0,0,0,0,0,0,0,0,0,100,26,3,10.13,25,4,13.765,25,3,11.375,24.5,3,1,100,4,0,3,0,25,0,0,100,1.48,0.56,0.08,50.68,58
SO42? /CoFe2O4,0,0,0,1,0,0,0,0,0,0,0,66.67,26,3,33.33,27,2,4.075,62,0,3.25,46,0,0,200,25,0,4,0,25,0,4,0.33,1.255,0.105,345000000,3.33E+13,59
SO42? /CoFe2O4,0,0,0,1,0,0,0,0,0,0,0,66.67,26,3,33.33,27,2,4.075,62,0,3.25,46,0,0,200,25,0,4,0,25,3,1,0.33,1.255,0.105,345000000,3.33E+13,59
Au NRs-Pd@HA,0,1,0,0,0,0,0,0,0,0,0,61.65,79,0,38.35,46,0,14.125,42,1,9.96,36.5,1,4,60,26,1,7,1,25,1,1,0.26,7.3,0.05,345000000,3.33E+13,60
Au NRs-Pd@HA,1,1,0,0,0,0,0,0,0,0,0,61.65,79,0,38.35,46,0,14.125,42,1,9.96,36.5,1,4,60,26,1,7,1,25,7,2,0.26,4.45,0.04,345000000,3.33E+13,60
CoNCDs,0,1,0,0,0,0,0,0,0,0,0,100,27,2,33.3,30,2,2.28,62,0,3.52,36.5,1.5,0,2,4,2,7,1,37,6,0,10,1.06,0.22,345000000,3.33E+13,61
CoNCDs,0,1,0,0,0,0,0,0,0,0,0,100,27,2,33.3,30,2,2.28,62,0,3.52,36.5,1.5,0,2,4,2,7,1,37,1,5,10,1.26,0.18,345000000,3.33E+13,61
CoNCDs,0,1,0,0,0,0,0,0,0,0,0,100,27,2,33.3,30,2,2.28,62,0,3.52,36.5,1.5,0,2,4,2,9,2,37,6,0,10,0.29,0.13,345000000,3.33E+13,61
CoNCDs,0,1,0,0,0,0,0,0,0,0,0,100,27,2,33.3,30,2,2.28,62,0,3.52,36.5,1.5,0,2,4,2,9,2,37,1,5,10,0.13,0.09,345000000,3.33E+13,61
Fe-MoOv,0,0,0,0,0,0,0,0,0,0,0,90,42,6,10,26,3,22.765,31.5,3,15.585,26.5,2,1,96,4,1,7,1,25,1,1,0.4,77.1,0.23,345000000,3.33E+13,62
Au25,2,0,0,1,0,0,0,0,0,0,0,100,79,0,33.3,30,2,11.445,68,2,10.23,27,2.5,0,2,27,2,7,1,25,1,2,0.26,676,1.23,345000000,3.33E+13,63
Au24Cu1,2,0,0,1,0,0,0,0,0,0,0,96,79,0,4,29,0,16.64,58,4,9.96,36.5,1,0,2,28,2,7,1,25,1,2,0.26,252,5.83,345000000,3.33E+13,64
Au24Cd1,2,0,0,1,0,0,0,0,0,0,0,95,79,0,5,48,0,14.94,41.5,4,10.23,27,2.5,0,2,29,2,7,1,25,1,2,0.26,293,2.33,345000000,3.33E+13,65
Au24Ag1,2,0,0,1,0,0,0,0,0,0,0,95,79,0,5,47,0,17.3,58,4,10.23,27,2.5,0,200,30,1,7,1,25,1,2,0.26,222.42,1.15,345000000,3.33E+13,66
Au25,2,0,0,1,0,0,0,0,0,0,0,100,79,0,33.3,30,2,15.95,58,4,10.23,27,2.5,0,200,31,1,7,1,25,1,2,0.26,479.39,0.69,345000000,3.33E+13,63
Ag3PO4 MCs ,1,0,1,0,0,0,0,0,0,0,0,100,47,1,33.3,30,2,16.78,27,2,15,23,4,5,1600,4,0,6,0,20,0,2,0.26,2.09,24.2,345000000,3.33E+13,67
Ag3PO4 MCs ,1,0,1,0,0,0,0,0,0,0,0,100,47,1,33.3,30,2,16.78,27,2,15,23,4,5,1600,4,0,4.5,0,50,6,2,0.26,3.31,2.77,345000000,3.33E+13,67
 Ag@Ag3PO4MCs,1,0,1,0,0,0,0,0,0,0,0,51.15,47,1,48.85,47,0,16.78,27,2,15,23,4,5,1600,4,0,6,0,20,0,2,0.26,0.11,6.32,345000000,3.33E+13,68
 Ag@Ag3PO4MCs,1,0,1,0,0,0,0,0,0,0,0,51.15,47,1,48.85,47,0,16.78,27,2,15,23,4,5,1600,4,0,4.5,0,50,6,2,0.26,1.23,5.18,345000000,3.33E+13,68
Ag3PO4,0,0,1,0,0,0,0,0,0,0,0,100,47,1,33.3,30,2,2.28,62,0,3.25,46,0,0,10,32,0,4,0,25,0,0,5,0.33,0.02,345000000,3.33E+13,69
Ag3PO4,0,0,1,0,0,0,0,0,0,0,0,100,47,1,33.3,30,2,2.28,62,0,3.25,46,0,0,10,32,0,4,0,25,1,1,0.3,0.22,0.01,345000000,3.33E+13,69
NiPd hNPs,0,0,0,0,0,0,0,0,0,0,0,54.35,46,0,45.66,28,2,13.33,58,3,5.5,36,1,0,40,4,0,5,0,25,1,1,0.25,0.66,0.26,345000000,3.33E+13,70
NiPd hNPs,0,0,0,0,0,0,0,0,0,0,0,54.35,46,0,45.66,28,2,13.33,58,3,5.5,36,1,0,40,4,0,5,0,25,0,2,0.26,0.11,0.02,345000000,3.33E+13,70
MgFe2O4 MNPs,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,12,2,24.845,25,4,15.585,26.5,2,0,220,33,0,4,0,45,0,0,12,0.67,0.02,345000000,3.33E+13,71
MgFe2O4 MNPs,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,12,2,24.845,25,4,15.585,26.5,2,0,220,33,0,4,0,45,3,0,12,0.14,0.13,345000000,3.33E+13,71
MgFe2O4 MNPs,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,12,2,24.845,25,4,15.585,26.5,2,0,220,33,0,4,0,45,1,4,0.4,4.61,0.13,345000000,3.33E+13,71
NiFe2O4 MNPs,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,28,2,24.845,25,4,15.585,26.5,2,0,200,33,0,4,0,45,0,0,12,0.55,0.05,345000000,3.33E+13,72
NiFe2O4 MNPs,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,28,2,24.845,25,4,15.585,26.5,2,0,200,33,0,4,0,45,3,0,12,0.46,0.17,345000000,3.33E+13,72
NiFe2O4 MNPs,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,28,2,24.845,25,4,15.585,26.5,2,0,200,33,0,4,0,45,1,4,0.4,2.6,0.14,345000000,3.33E+13,72
3DRGO_Fe3O4-Pd,0,0,0,0,0,0,0,0,0,0,0,50,46,0,33.33,26,3,16.67,26,2,5.5,36,1,0,9,4,0,4,0,40,0,0,0.03,0.34,0.2,345000000,3.33E+13,73
3DRGO_Fe3O4-Pd,0,0,0,0,0,0,0,0,0,0,0,50,46,0,33.33,26,3,16.67,26,2,5.5,36,1,0,9,4,0,4,0,40,1,1,0.12,0.02,0.06,345000000,3.33E+13,73
Pd-Ir core-shell,0,0,0,0,0,0,0,0,0,0,0,5.84,46,0,94.16,77,0,16.64,58,4,9.375,26,2,5,19.2,34,0,4,0,22,0,0,2000,0.13,0.07,1900000,0.055,74
Pd-Ir core-shell,0,0,0,0,0,0,0,0,0,0,0,5.84,46,0,94.16,77,0,16.64,58,4,16.67,27,2,5,19.2,34,0,4,0,22,1,1,0.8,340,0.05,1500000,0.055,74
Pd-Ir core-shell,0,0,0,0,0,0,0,0,0,0,0,16.04,46,0,83.96,77,0,16.64,58,4,9.375,26,2,5,8.4,34,0,4,0,22,0,0,2000,0.12,0.09,390000,0.055,74
Pd-Ir core-shell,0,0,0,0,0,0,0,0,0,0,0,16.04,46,0,83.96,77,0,16.64,58,4,16.67,27,2,5,8.4,34,0,4,0,22,1,1,0.8,180,0.05,240000,0.055,74
Pd-Ir core-shell,0,0,0,0,0,0,0,0,0,0,0,2.15,46,0,97.85,77,0,20.805,48,3,12.75,26,2,5,52.2,34,0,4,0,22,0,0,2000,0.19,0.06,12000000,0.055,74
